period,respondent,min temp,respondent-name,fueltype,fuel,timezone,timezone-description,generation,value-units
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",WND,Wind,Arizona,Arizona,130719,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Pacific,Pacific,1478,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",WND,Wind,Eastern,Eastern,139339,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",WND,Wind,Mountain,Mountain,130719,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",WND,Wind,Pacific,Pacific,126545,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",COL,Coal,Arizona,Arizona,255682,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",COL,Coal,Central,Central,254511,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",COL,Coal,Eastern,Eastern,253589,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",COL,Coal,Mountain,Mountain,255682,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",COL,Coal,Pacific,Pacific,256873,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Arizona,Arizona,891374,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Central,Central,885601,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Eastern,Eastern,879860,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Mountain,Mountain,891374,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Pacific,Pacific,896489,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Arizona,Arizona,6456,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Central,Central,6456,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Eastern,Eastern,6456,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Mountain,Mountain,6456,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Pacific,Pacific,6456,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",WND,Wind,Arizona,Arizona,172984,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",WND,Wind,Central,Central,179138,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",WND,Wind,Eastern,Eastern,184811,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",WND,Wind,Mountain,Mountain,172984,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",WND,Wind,Pacific,Pacific,166451,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",COL,Coal,Arizona,Arizona,964935,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",COL,Coal,Central,Central,963049,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",COL,Coal,Eastern,Eastern,961987,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",COL,Coal,Mountain,Mountain,964935,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",COL,Coal,Pacific,Pacific,967552,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Arizona,Arizona,543151,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Central,Central,541830,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Eastern,Eastern,540265,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Mountain,Mountain,543151,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Pacific,Pacific,544997,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Arizona,Arizona,1479,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Central,Central,1479,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Eastern,Eastern,1479,megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Mountain,Mountain,1479,megawatthours
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",WND,Wind,Central,Central,135338,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",WND,Wind,Arizona,Arizona,99154,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",WND,Wind,Central,Central,97700,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Mountain,Mountain,1870,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Eastern,Eastern,1872,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Central,Central,1871,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Arizona,Arizona,1870,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Pacific,Pacific,509865,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Mountain,Mountain,511904,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Eastern,Eastern,514732,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Central,Central,513086,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Arizona,Arizona,511904,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",COL,Coal,Pacific,Pacific,973516,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",COL,Coal,Mountain,Mountain,973771,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",COL,Coal,Eastern,Eastern,974109,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",COL,Coal,Central,Central,973888,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",COL,Coal,Arizona,Arizona,973771,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",WND,Wind,Pacific,Pacific,149131,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",WND,Wind,Mountain,Mountain,141066,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",WND,Wind,Eastern,Eastern,127822,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",WND,Wind,Central,Central,134114,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",WND,Wind,Arizona,Arizona,141066,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Pacific,Pacific,6762,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Mountain,Mountain,6762,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Eastern,Eastern,6762,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Central,Central,6762,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Arizona,Arizona,6762,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Pacific,Pacific,884385,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Mountain,Mountain,887208,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Eastern,Eastern,892590,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Central,Central,889900,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Arizona,Arizona,887208,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",COL,Coal,Pacific,Pacific,260012,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",COL,Coal,Mountain,Mountain,259916,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",COL,Coal,Eastern,Eastern,259714,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",COL,Coal,Central,Central,259834,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",COL,Coal,Arizona,Arizona,259916,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",WND,Wind,Pacific,Pacific,100818,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",WND,Wind,Mountain,Mountain,99154,megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",WND,Wind,Eastern,Eastern,96807,megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Pacific,Pacific,1870,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",WND,Wind,Arizona,Arizona,175304,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Pacific,Pacific,1987,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Mountain,Mountain,1987,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Eastern,Eastern,1987,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Central,Central,1987,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Arizona,Arizona,1987,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Pacific,Pacific,559216,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Mountain,Mountain,553665,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Eastern,Eastern,544234,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Central,Central,548579,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Arizona,Arizona,553665,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",COL,Coal,Pacific,Pacific,981591,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",COL,Coal,Mountain,Mountain,982314,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",COL,Coal,Eastern,Eastern,983244,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",COL,Coal,Central,Central,983272,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",COL,Coal,Arizona,Arizona,982314,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",WND,Wind,Pacific,Pacific,188518,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",WND,Wind,Mountain,Mountain,193047,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",WND,Wind,Eastern,Eastern,200066,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",WND,Wind,Central,Central,196819,megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",WND,Wind,Arizona,Arizona,193047,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Pacific,Pacific,6333,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Mountain,Mountain,6333,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Eastern,Eastern,6333,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Central,Central,6333,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Arizona,Arizona,6333,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Pacific,Pacific,917846,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Mountain,Mountain,908957,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Eastern,Eastern,890206,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Central,Central,899328,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Arizona,Arizona,908957,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",COL,Coal,Pacific,Pacific,262030,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",COL,Coal,Mountain,Mountain,261970,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",COL,Coal,Eastern,Eastern,262431,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",COL,Coal,Central,Central,262149,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",COL,Coal,Arizona,Arizona,261970,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",WND,Wind,Pacific,Pacific,175178,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",WND,Wind,Mountain,Mountain,175304,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",WND,Wind,Eastern,Eastern,173699,megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",WND,Wind,Central,Central,174601,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",WND,Wind,Arizona,Arizona,69942,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",WND,Wind,Central,Central,73395,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Mountain,Mountain,2058,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Eastern,Eastern,2058,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Central,Central,2058,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Arizona,Arizona,2058,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Pacific,Pacific,702264,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Mountain,Mountain,700492,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Eastern,Eastern,695887,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Central,Central,698431,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Arizona,Arizona,700492,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,Pacific,Pacific,911912,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,Mountain,Mountain,915185,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,Eastern,Eastern,923264,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,Central,Central,919004,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,Arizona,Arizona,915185,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",WND,Wind,Pacific,Pacific,164368,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",WND,Wind,Mountain,Mountain,163303,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",WND,Wind,Eastern,Eastern,159900,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",WND,Wind,Central,Central,161887,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",WND,Wind,Arizona,Arizona,163303,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Pacific,Pacific,20134,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Mountain,Mountain,20134,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Eastern,Eastern,20134,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Central,Central,20134,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Arizona,Arizona,20134,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Pacific,Pacific,736527,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Mountain,Mountain,747100,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Eastern,Eastern,772839,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Central,Central,759708,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Arizona,Arizona,747100,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",COL,Coal,Pacific,Pacific,198307,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",COL,Coal,Mountain,Mountain,201606,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",COL,Coal,Eastern,Eastern,207684,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",COL,Coal,Central,Central,204655,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",COL,Coal,Arizona,Arizona,201606,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",WND,Wind,Pacific,Pacific,67089,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",WND,Wind,Mountain,Mountain,69942,megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",WND,Wind,Eastern,Eastern,77353,megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Pacific,Pacific,2058,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",WND,Wind,Arizona,Arizona,91305,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",WND,Wind,Central,Central,90087,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Mountain,Mountain,3086,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Eastern,Eastern,3086,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Central,Central,3086,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Arizona,Arizona,3086,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Pacific,Pacific,673317,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Mountain,Mountain,671434,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Eastern,Eastern,670018,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Central,Central,670557,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Arizona,Arizona,671434,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",COL,Coal,Pacific,Pacific,903758,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",COL,Coal,Mountain,Mountain,900371,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",COL,Coal,Eastern,Eastern,893877,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",COL,Coal,Central,Central,896786,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",COL,Coal,Arizona,Arizona,900371,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",WND,Wind,Pacific,Pacific,95568,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",WND,Wind,Mountain,Mountain,100944,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",WND,Wind,Eastern,Eastern,112500,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",WND,Wind,Central,Central,106327,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",WND,Wind,Arizona,Arizona,100944,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Pacific,Pacific,13403,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Mountain,Mountain,13403,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Eastern,Eastern,13403,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Central,Central,13403,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Arizona,Arizona,13403,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Pacific,Pacific,689123,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Mountain,Mountain,690739,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Eastern,Eastern,694055,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Central,Central,692091,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Arizona,Arizona,690739,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",COL,Coal,Pacific,Pacific,172644,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",COL,Coal,Mountain,Mountain,174136,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",COL,Coal,Eastern,Eastern,175997,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",COL,Coal,Central,Central,175435,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",COL,Coal,Arizona,Arizona,174136,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",WND,Wind,Pacific,Pacific,92268,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",WND,Wind,Mountain,Mountain,91305,megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",WND,Wind,Eastern,Eastern,88688,megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Pacific,Pacific,3086,megawatthours
2021-02-17,ERCO,21,"Electric Reliability Council of Texas, Inc.",WND,Wind,Arizona,Arizona,62865,megawatthours
2021-02-17,ERCO,21,"Electric Reliability Council of Texas, Inc.",WND,Wind,Central,Central,61884,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Mountain,Mountain,1897,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Eastern,Eastern,1897,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Central,Central,1897,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Arizona,Arizona,1897,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Pacific,Pacific,648791,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Mountain,Mountain,653490,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Eastern,Eastern,660857,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Central,Central,657005,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",NG,Natural gas,Arizona,Arizona,653490,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,Pacific,Pacific,933819,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,Mountain,Mountain,934607,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,Eastern,Eastern,935692,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,Central,Central,935333,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,Arizona,Arizona,934607,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",WND,Wind,Pacific,Pacific,58434,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",WND,Wind,Mountain,Mountain,60405,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",WND,Wind,Eastern,Eastern,63880,megawatthours
